STT;ID;Mô tả hàng (như tờ khai);Mã HS;Xuất xứ;Ngày khai;Thuế NK đã áp;Biểu thuế;C/O (form);CBPG;Số tờ khai;TỰ TIN / KHÔNG CHẮC (điền: TT / KC);Ghi chú của bộ phận khai báo (điền);[tham khảo] ghi chú hệ thống
1;gs-001;Thép không hợp kim cán phẳng (sơn sau khi mạ kẽm), dày 0.55mm x rộng 1360mm, carbon <0.6%, NPL sx bình nước nóng;7210.70.12;CN;2026-06-09;0%;ACFTA;form E;CBPG 34.27% (được miễn);108320312550;"";"";"C/O form E (ACFTA) E266316963822702; ưu đãi đặc biệt 0% (mã C); có thuế chống bán phá giá CBPG 34,27% mã G061 nhưng được miễn (GM); exporter Baosteel Singapore PTE nhưng mã nước CN; E31 SXXK, VAT miễn"
2;gs-002;Nhôm không hợp kim dạng thanh, 620x90mm, phụ tùng máy làm túi - Cooling holder insertion bar;7604.10.10;JP;2026-06-11;5%;MFN;-;CBPG 35.58% (áp dụng);108326239230;"";"";Thuế chống bán phá giá CBPG 35,58% (mã G088) được áp dụng (9.409.606 VND)
3;gs-003;Thép không hợp kim cán phẳng 0.8x80mm, mạ kẽm nhúng nóng, dạng cuộn;7212.30.13;AU;2026-06-16;5%;AANZFTA;form AANZ;CBPG (được miễn);108341270440;"";"";"C/O AANZ (B07, áp dụng mục 8); thuế CBPG - thuộc đối tượng KHÔNG chịu (mã GK); E31 NK miễn/GTGT không thu"
4;gs-004;Men sứ PE RTU HWT Enamel EMP6555 (dạng bột, NPL sản xuất bình nước nóng), mới 100%;3207.20.90;CN;2026-06-12;0%;ACFTA;form E;-;108334418950;"";"";C/O form E E267222820460026 ngày 10/06/2026 (ACFTA) -> thuế NK ưu đãi đặc biệt 0% (letter C). NL nhập SXXK (E31, XN210), VAT không chịu (VK120). Phụ phí LSS 1.883.209 VND (khoản điều chỉnh mã AD). Kha
5;gs-005;Bộ phận máy thổi màng nhựa - cụm trục lăn sợi carbon Phi22xL460mm (CFRP-roller);8477.90.39;DE;2026-06-17;0%;EVFTA;EVFTA self-certified origin (REX);-;108341162860;"";"";"Ưu đãi đặc biệt EVFTA (mã biểu thuế B25); C/O tự chứng nhận REX theo TT 14/2026/TT-BCT"
6;gs-006;Vòng đệm cách nhiệt bằng nhựa Phi742xT2mm (Insulating plate);3926.90.99;DE;2026-06-17;0%;EVFTA;EVFTA self-certified origin (REX);-;108341162860;"";"";"Ưu đãi đặc biệt EVFTA (mã biểu thuế B25); MFN cho HS này là 12% -> 0% nhờ C/O REX"
7;gs-007;Đáy bằng thép của bình nước nóng, dày 2.5mm, Phi576mm, cao 185mm;7326.90.99;AU;2026-06-16;0%;AANZFTA;form AANZ;-;108341270440;"";"";"C/O AANZ EC1326132800 (áp dụng mục 1,2,8,15), mã biểu thuế B07; E31 nhập SXXK NK miễn/GTGT không thu; nhập chung Cont/BL/INV với TK 108341376250/H11"
8;gs-008;Kính phẳng tôi nhiệt (kính an toàn), dày 3.2mm, KT 1955x1002mm, NPL sản xuất tấm năng lượng mặt trời;7007.19.90;CN;2026-06-18;0%;ACFTA;form E;-;108350611460;"";"";"C/O form E (ACFTA) E265693661700030 ngày 17/06/2026, ưu đãi 0% (mã C); exporter FLAT (Hong Kong) khai mã nước CN"
9;gs-009;Ống đồng (đồng tinh luyện, phi 7.94mm x 0.71mm), NPL sản xuất bộ phận làm nóng bình nước nóng điện, hiệu JINTIAN;7411.10.00;VN;2026-06-18;0%;ATIGA;form D;-;108353250240;"";"";"Nhập khẩu tại chỗ (NKTC) VN-VN; exporter & origin đều VN; C/O form D điện tử VN-VN, mã C 0%; hóa đơn bằng VND"
10;gs-010;Chi tiết ghép nối ống hình chữ T có ren R3/4M-DN15, dài 63mm, bằng đồng thau;7412.20.91;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ EC1426331571 (01/06/2026); VAT không chịu thuế (để trống)"
11;gs-011;Van giảm áp PR254, bằng đồng thau, đường kính trong ≤2,5cm;8481.10.21;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ; VAT không chịu thuế"
12;gs-012;Van an toàn nhiệt độ và áp lực 1/2x1000 HTEX1507, bằng đồng thau, dài 163mm;8481.40.10;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ; VAT không chịu thuế"
13;gs-013;Cuộn cảm bằng đồng, 3.12W, 12V/46Ohm/0.26A, đóng ngắt van tiết lưu;8504.50.93;CN;2026-06-22;0%;ACFTA;form E;-;108360951420;"";"";"E31 nhập SXXK; C/O form E E26MA2JQDRA90049 (16/06/2026); VAT không chịu thuế"
14;gs-014;Van tiết lưu bằng đồng, đường kính trong ≤2,5cm, phi 17.35mm, cao 78mm;8481.80.99;CN;2026-06-22;0%;ACFTA;form E;-;108360951420;"";"";"E31 nhập SXXK; C/O form E; VAT không chịu thuế"
